Cefoperazone	Clindamycin	Streptomycin	ko	gene	pathway	grouping	KEGG_code
1	2	4	K17466	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIC	Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02880
1	1	5	K17467	PTS_system_mannose/fructose/sorbose_transporter_subunit_IID	Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02890
5	75	19	K02755	bglF;_PTS_system_beta-glucoside-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_03880
2	21	40	K02793	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_04910
2	22	44	K02794	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_04920
3	28	62	K02795	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_04930
5	39	84	K02796	PTS_system_mannose/fructose/sorbose_transporter_subunit_IID	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_04940
3	0	37	K02783	srlA;_PTS_system_glucitol/sorbitol-specific_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_07640
4	0	36	K02782	srlEa;_PTS_system_sorbitol-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_07650
3	1	41	K02783	srlEb;_PTS_system_glucitol/sorbitol-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_07660
3	1	27	K02781	srlB;_PTS_system_sorbitol-specific_transporter_subunit_IIA_(EC:2.7.1.-)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_07670
72	48	114	none	PTS_system_transporter_subunit_IIB	none	PEP group translocators	cdf:CD630_08130
3	2	1	K02793	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10740
3	1	2	K02794	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10760
4	3	2	K02796	PTS_system_mannose/fructose/sorbose_transporter_subunit_IID	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10780
14	11	20	K02774	PTS_system_transporter_subunit_IIB	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10830
3	3	4	K02790	PTS_system_maltose_and_glucose-specific_transporter_subunits_IICB_(EC:2.7.1.69)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_13360
9	8	8	K02760	PTS_system_lactose/cellobiose-family_transporter_subunit_IIB	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_16020
7	5	146	K02768	fruABC;_PTS_system_fructose-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_22690
0	6	4	K02775	PTS_system_fructose/mannitol_family_transporter_subunit_IIC	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_22800
0	5	4	K02774	PTS_system_fructose/mannitol_family_transporter_subunit_IIB	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_22810
0	5	2	none	PTS_system_fructose/mannitol_family_transporter_subunit_IIA	none	PEP group translocators	cdf:CD630_22820
22	25	198	K02775	PTS_system_fructose/mannitol_family_transporter_subunit_IIC	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23250
13	18	107	K02774	PTS_system_fructose/mannitol_family_transporter_subunit_IIB_(EC:2.7.1.69)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23260
8	8	83	K02773	PTS_system_fructose/mannitol_family_transporter_subunit_IIA_(EC:2.7.1.69)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23270
178	2	56	K02798	mtlF;_PTS_system_mannitol-specific_transporter_subunit_IIA_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23320
115	2	41	K02799	mtlA;_PTS_system_mannitol-specific_transporter_subunit_IICB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23340
10	5	14	K11203	PTS_system_fructose-like_transporter_subunit_IIC	none	PEP group translocators	cdf:CD630_24860
10	5	12	K11202	PTS_system_fructose-like_transporter_subunit_IIB_(EC:2.7.1.69)	none	PEP group translocators	cdf:CD630_24870
6	2	6	K02806	PTS_system_fructose-like_transporter_subunit_IIA	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_24880
0	10	2	K02790	PTS_system_glucose-like_transporter_subunit_IIBC_(EC:2.7.1.69)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25100
0	11	2	K02777	PTS_system_glucose-like_transporter_subunit_IIA_(EC:2.7.1.69)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25120
1	3	9	K02822	PTS_system_fructose/mannitol-family_transporter_subunit_IIB_(EC:2.7.1.69)	Ascorbate_and_aldarate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25550
1	4	11	none	PTS_system_fructose/mannitol-family_transporter_subunit_IIAB	none	PEP group translocators	cdf:CD630_25560
0	3	11	K02768	PTS_system_mannose-specfic_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25660
0	8	30	K02769	PTS_system_mannose-specfic_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25670
1	18	48	K02770	PTS_system_mannose-specfic_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25680
132	65	42	K11189	ptsH;_PTS_system_HPr_protein	none	PEP group translocators	cdf:CD630_27560
19	16	22	K02759	celC;_PTS_system_cellobiose-specific_transporter_subunit_IIA_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_28800
1	2	13	K02761	celB;_PTS_system_cellobiose-specific_transporter_subunit_IIC	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_28830
2	2	9	K02760	celA;_PTS_system_cellobiose-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_28840
2	3	16	K02770	PTS_system_mannose-specfic_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30130
1	2	15	K02769	PTS_system_mannose-specfic_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30140
4	3	13	K02768	PTS_system_mannose-specfic_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30150
0	22	4	none	PTS_system_alpha-glucoside-specific_transporter_subunit_IIA	none	PEP group translocators	cdf:CD630_30580
0	23	4	K02749	PTS_system_alpha-glucoside-specific_transporter_subunit_IICB_(EC:2.7.1.69)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30610
49	40	19	K02793	xynA;_PTS_system_xyloside-specific_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30670
45	33	15	K02794	xynB;_PTS_system_xyloside-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30680
45	31	15	K02796	xynD;_PTS_system_xyloside-specific_transporter_subunit_IID	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30690
31	29	9	K02795	xynC;_PTS_system_xyloside-specific_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30700
27	17	22	K02769	tagABC;_PTS_system_tagatose-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_307501
3	2	2	K11198	mngA;_PTS_system_2-O-a-mannosyl-D-glycerate_specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30860
335	672	592	K02803	PTS_system_glucose-like_transporter_subunit_IIBC_(EC:2.7.1.69)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30890
0	8	2	K02755	bglF;_PTS_system_beta-glucoside-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30970
2	4	4	K02777	PTS_system_glucose-like_transporter_subunit_IIA	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_31030
2	4	5	none	PTS_system_fructose-like_transporter_subunit_IIA	none	PEP group translocators	cdf:CD630_31320
15	44	46	K02768	PTS_system_fructose-like_transporter_subunit_IIABC_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_31340
1	13	10	K02796	PTS_system_mannose/fructose/sorbose_transporter_subunit_IID	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_32760
0	9	6	K02795	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_32770
0	5	5	K02793	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_32780
0	5	3	K02794	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_32790
22	8	27	K02761	PTS_system_lactose/cellobiose-family_transporter_subunit_IIC	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_34430
16	11	23	K02760	PTS_system_lactose/cellobiose-family_transporter_subunit_IIB	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_34440
12	5	11	none	PTS_system_lactose/cellobiose-family_transporter_subunit_IIA	none	PEP group translocators	cdf:CD630_34450
3	41	24	K03475	PTS_system_ascorbate-specific_transporter_subunit_IIC	Ascorbate_and_aldarate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_36290
4	32	18	K02822	PTS_system_fructose/mannitol-family_transporter_subunit_IIB	Ascorbate_and_aldarate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_36300
2	4	3	K02759	licA;_PTS_system_lichenan-specific_transporter_subunit_IIA	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_36470
1	4	3	K02760	licB;_PTS_system_lichenan-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_36480
8	4	4	none	PTS_system_lactose/cellobiose-family_transporter_subunit_IIC	none	PEP group translocators	cdf:CD630_36500
19	12	5	none	pyridoxal_phosphate-dependent_transferase;_putative_aluminium_resistance	none	PEP group translocators	cdf:CD630_19730
38	155	144	none	pyridoxal_phosphate-dependent_transferase	none	PEP group translocators	cdf:CD630_23820
0	12	2	none	pyridoxal_phosphate-dependent_transferase_(EC:2.6.1.-)	none	PEP group translocators	cdf:CD630_24240
3	1	3	K14155	pyridoxal_phosphate-dependent_transferase	Cysteine_and_methionine_metabolism;Metabolism;Amino_acid_metabolism|Selenocompound_metabolism;Metabolism;Metabolism_of_other_amino_acids|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	PEP group translocators	cdf:CD630_24840
7	11	23	none	pyridoxal_phosphate-dependent_transferase	none	PEP group translocators	cdf:CD630_25020
5	6	8	K14155	pyridoxal_phosphate-dependent_transferase	Cysteine_and_methionine_metabolism;Metabolism;Amino_acid_metabolism|Selenocompound_metabolism;Metabolism;Metabolism_of_other_amino_acids|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	PEP group translocators	cdf:CD630_26960
0	5	3	K14155	pyridoxal_phosphate-dependent_transferase	Cysteine_and_methionine_metabolism;Metabolism;Amino_acid_metabolism|Selenocompound_metabolism;Metabolism;Metabolism_of_other_amino_acids|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	PEP group translocators	cdf:CD630_27330
0	49	2	none	pyridoxal_phosphate-dependent_transferase_(EC:2.8.1.7)	none	PEP group translocators	cdf:CD630_30320
20	9	30	none	pyridoxal_phosphate-dependent_transferase_(PLP-dependent_transferase)_(EC:2.6.1.-)	none	PEP group translocators	cdf:CD630_34410
168	1	3	K01989	ABC_transporter_sugar-family_extracellular_solute-binding_protein	none	ABC sugar transporters	cdf:CD630_08730
113	0	4	K05833	ABC_transporter_sugar-family_ATP-binding_protein_(EC:3.6.3.-)	none	ABC sugar transporters	cdf:CD630_08740
63	1	4	K05832	ABC_transporter_sugar-family_permease	none	ABC sugar transporters	cdf:CD630_08750
4	0	3	K01989	ABC_transporter_sugar-family_extracellular_solute-binding_protein	none	ABC sugar transporters	cdf:CD630_08760
6	1	2	K05833	ABC_transporter_sugar-family_ATP-binding_protein_(EC:3.6.3.-)	none	ABC sugar transporters	cdf:CD630_08770
34	1	3	K05832	ABC_transporter_sugar-specific_permease	none	ABC sugar transporters	cdf:CD630_08780
2	1	6	K10441	ABC_transporter_sugar-family_ATP-binding_protein_(EC:3.6.3.-)	ABC_transporters;Environmental_Information_Processing;Membrane_transport	ABC sugar transporters	cdf:CD630_15870
1	1	4	K10440	ABC_transporter_sugar-family_permease	ABC_transporters;Environmental_Information_Processing;Membrane_transport	ABC sugar transporters	cdf:CD630_15880
3	1	6	K10439	ABC_transporter_sugar-family_extracellular_solute-binding_protein	ABC_transporters;Environmental_Information_Processing;Membrane_transport|Bacterial_chemotaxis;Cellular_Processes;Cell_motility	ABC sugar transporters	cdf:CD630_15890
11	8	10	K10112	ABC_transporter_sugar-family_ATP-binding_protein_(EC:3.6.3.-)	ABC_transporters;Environmental_Information_Processing;Membrane_transport	ABC sugar transporters	cdf:CD630_24560
35	13	3	K02026	ABC_transporter_sugar-family_permease	none	ABC sugar transporters	cdf:CD630_25480
27	13	3	none	ABC_transporter_sugar-family_permease	none	ABC sugar transporters	cdf:CD630_25490
44	31	8	none	ABC_transporter_sugar-family_extracellular_solute-binding_protein	none	ABC sugar transporters	cdf:CD630_25500
3	0	27	none	srlR;_PTS_operon_transcription_antiterminator	none	Sugar alcohol catabolism	cdf:CD630_07620
2	0	24	none	srlM;_Sorbitol_operon_activator_protein_(Glucitol)	none	Sugar alcohol catabolism	cdf:CD630_07630
3	0	37	K02783	srlA;_PTS_system_glucitol/sorbitol-specific_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Sugar alcohol catabolism	cdf:CD630_076401
3	1	27	K02781	srlB;_PTS_system_sorbitol-specific_transporter_subunit_IIA_(EC:2.7.1.-)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Sugar alcohol catabolism	cdf:CD630_076701
3	1	52	K00068	srlD;_sorbitol-6-phosphate_dehydrogenase_(EC:1.1.1.140)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism	Sugar alcohol catabolism	cdf:CD630_07680
4	0	36	K02782	srlEa;_PTS_system_sorbitol-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Sugar alcohol catabolism	cdf:CD630_076501
3	1	41	K02783	srlEb;_PTS_system_glucitol/sorbitol-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Sugar alcohol catabolism	cdf:CD630_076601
247	4	93	K00009	mtlD;_mannitol-1-phosphate_5-dehydrogenase_(EC:1.1.1.17)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism	Sugar alcohol catabolism	cdf:CD630_23310
178	2	56	K02798	mtlF;_PTS_system_mannitol-specific_transporter_subunit_IIA_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Sugar alcohol catabolism	cdf:CD630_233201
148	3	49	none	mtlR;_PTS_operon_transcription_antiterminator	none	Sugar alcohol catabolism	cdf:CD630_23330
115	2	41	K02799	mtlA;_PTS_system_mannitol-specific_transporter_subunit_IICB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Sugar alcohol catabolism	cdf:CD630_233401
39	117	131	K00929	buk;_butyrate_kinase_(EC:2.7.2.7)	Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Fermentation end steps	cdf:CD630_01130
58	256	168	K00929	buk;_butyrate_kinase_(EC:2.7.2.7)	Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Fermentation end steps	cdf:CD630_23790
0	6	2	K00929	buk1;_butyrate_kinase_(EC:2.7.2.7)	Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Fermentation end steps	cdf:CD630_24260
25	91	112	K00634	ptb;_phosphate_butyryltransferase_(EC:2.3.1.19)	Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Fermentation end steps	cdf:CD630_01120
9	35	55	K00634	ptb;_phosphate_butyryltransferase_(Phosphotransbutyrylase)_(EC:2.3.1.19)	Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Fermentation end steps	cdf:CD630_07150
