K00001	alcohol_dehydrogenase_[EC:1.1.1.1]
K03490	AraC_family_transcriptional_regulator,_cel_operon_repressor
K03491	lichenan_operon_transcriptional_antiterminator
K03492	GntR_family_transcriptional_regulator
K03493	transcriptional_antiterminator
K03494	beta-galactoside_alpha-2,3-sialyltransferase_(sialyltransferase_4C)_[EC:2.4.99.4]
K03495	tRNA_uridine_5-carboxymethylaminomethyl_modification_enzyme
K03496	chromosome_partitioning_protein
K03497	chromosome_partitioning_protein,_ParB_family
K03498	trk_system_potassium_uptake_protein_TrkH
K03499	trk_system_potassium_uptake_protein_TrkA
K03500	16S_rRNA_(cytosine967-C5)-methyltransferase_[EC:2.1.1.176]
K03501	16S_rRNA_(guanine527-N7)-methyltransferase_[EC:2.1.1.170]
K03502	DNA_polymerase_V
K03503	DNA_polymerase_V_[EC:3.4.21.-]
K03504	DNA_polymerase_delta_subunit_3
K03505	DNA_polymerase_delta_subunit_4
K03506	DNA_polymerase_epsilon_subunit_4_[EC:2.7.7.7]
K03507	DNA_replication_regulator_DPB11
K03508	DNA_polymerase_zeta_[EC:2.7.7.7]
K03509	DNA_polymerase_eta_[EC:2.7.7.7]
K03510	DNA_polymerase_iota_[EC:2.7.7.7]
K03511	DNA_polymerase_kappa_[EC:2.7.7.7]
K03512	DNA_polymerase_lambda_[EC:2.7.7.7_4.2.99.-]
K03513	DNA_polymerase_mu_[EC:2.7.7.7]
K03514	DNA_polymerase_sigma_[EC:2.7.7.7]
K03515	DNA_repair_protein_REV1_[EC:2.7.7.-]
K03516	flagellar_protein_FlhE
K03517	quinolinate_synthase_[EC:2.5.1.72]
K03518	carbon-monoxide_dehydrogenase_small_subunit_[EC:1.2.99.2]
K03519	carbon-monoxide_dehydrogenase_medium_subunit_[EC:1.2.99.2]
K03520	carbon-monoxide_dehydrogenase_large_subunit_[EC:1.2.99.2]
K03521	electron_transfer_flavoprotein_beta_subunit
K03522	electron_transfer_flavoprotein_alpha_subunit
K03523	biotin_transport_system_substrate-specific_component
K03524	BirA_family_transcriptional_regulator,_biotin_operon_repressor_/_biotin-[acetyl-CoA-carboxylase]_ligase_[EC:6.3.4.15]
K03525	type_III_pantothenate_kinase_[EC:2.7.1.33]
K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate_synthase_[EC:1.17.7.1]
K03527	4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase_[EC:1.17.1.2]
K03528	cell_division_protein_ZipA
K03529	chromosome_segregation_protein
K03530	DNA-binding_protein_HU-beta
K03531	cell_division_protein_FtsZ
K03532	trimethylamine-N-oxide_reductase_(cytochrome_c)_1,_cytochrome_c-type_subunit_TorC
K03533	TorA_specific_chaperone
K03534	L-rhamnose_mutarotase_[EC:5.1.3.-]
K03535	MFS_transporter,_ACS_family,_glucarate_transporter
K03536	ribonuclease_P_protein_component_[EC:3.1.26.5]
K03537	ribonuclease_P/MRP_protein_subunit_POP5_[EC:3.1.26.5]
K03538	ribonuclease_P_protein_subunit_POP4_[EC:3.1.26.5]
K03539	ribonuclease_P/MRP_protein_subunit_RPP1_[EC:3.1.26.5]
K03540	ribonuclease_P_protein_subunit_RPR2_[EC:3.1.26.5]
K03541	photosystem_II_10kDa_protein
K03542	photosystem_II_22kDa_protein
K03543	multidrug_resistance_protein_A
K03544	ATP-dependent_Clp_protease_ATP-binding_subunit_ClpX
K03545	trigger_factor
K03546	exonuclease_SbcC
K03547	exonuclease_SbcD
K03548	putative_permease
K03549	KUP_system_potassium_uptake_protein
K03550	holliday_junction_DNA_helicase_RuvA_[EC:3.6.4.12]
K03551	holliday_junction_DNA_helicase_RuvB_[EC:3.6.4.12]
K03552	holliday_junction_resolvase,_archaea_type
K03553	recombination_protein_RecA
K03554	recombination_associated_protein_RdgC
K03555	DNA_mismatch_repair_protein_MutS
K03556	LuxR_family_transcriptional_regulator,_maltose_regulon_positive_regulatory_protein
K03557	Fis_family_transcriptional_regulator,_factor_for_inversion_stimulation_protein
K03558	membrane_protein_required_for_colicin_V_production
K03559	biopolymer_transport_protein_ExbD
K03560	biopolymer_transport_protein_TolR
K03561	biopolymer_transport_protein_ExbB
K03562	biopolymer_transport_protein_TolQ
K03563	carbon_storage_regulator
K03564	peroxiredoxin_Q/BCP_[EC:1.11.1.15]
K03565	regulatory_protein
K03566	LysR_family_transcriptional_regulator,_glycine_cleavage_system_transcriptional_activator
K03567	glycine_cleavage_system_transcriptional_repressor
K03568	TldD_protein
K03569	rod_shape-determining_protein_MreB_and_related_proteins
K03570	rod_shape-determining_protein_MreC
K03571	rod_shape-determining_protein_MreD
K03572	DNA_mismatch_repair_protein_MutL
K03573	DNA_mismatch_repair_protein_MutH
K03574	7,8-dihydro-8-oxoguanine_triphosphatase_[EC:3.6.1.-]
K03575	A/G-specific_adenine_glycosylase_[EC:3.2.2.-]
K03576	LysR_family_transcriptional_regulator,_regulator_for_metE_and_metH
K03577	TetR/AcrR_family_transcriptional_regulator,_acrAB_operon_repressor
K03578	ATP-dependent_helicase_HrpA_[EC:3.6.4.13]
K03579	ATP-dependent_helicase_HrpB_[EC:3.6.4.13]
K03580	ATP-dependent_helicase_HepA_[EC:3.6.4.-]
K03581	exodeoxyribonuclease_V_alpha_subunit_[EC:3.1.11.5]
K03582	exodeoxyribonuclease_V_beta_subunit_[EC:3.1.11.5]
K03583	exodeoxyribonuclease_V_gamma_subunit_[EC:3.1.11.5]
K03584	DNA_repair_protein_RecO_(recombination_protein_O)
K03585	membrane_fusion_protein
K03586	cell_division_protein_FtsL
K03587	cell_division_protein_FtsI_(penicillin-binding_protein_3)_[EC:2.4.1.129]
K03588	cell_division_protein_FtsW
K03589	cell_division_protein_FtsQ
K03590	cell_division_protein_FtsA
K03591	cell_division_protein_FtsN
K03592	PmbA_protein
K03593	ATP-binding_protein_involved_in_chromosome_partitioning
K03594	bacterioferritin
K03595	GTP-binding_protein_Era
K03596	GTP-binding_protein_LepA
K03597	sigma-E_factor_negative_regulatory_protein_RseA
K03598	sigma-E_factor_negative_regulatory_protein_RseB
K03599	RNA_polymerase-associated_protein
K03600	stringent_starvation_protein_B
K03601	exodeoxyribonuclease_VII_large_subunit_[EC:3.1.11.6]
K03602	exodeoxyribonuclease_VII_small_subunit_[EC:3.1.11.6]
K03603	GntR_family_transcriptional_regulator,_negative_regulator_for_fad_regulon_and_positive_regulator_of_fabA
K03604	LacI_family_transcriptional_regulator,_purine_nucleotide_synthesis_repressor
K03605	hydrogenase_1_maturation_protease_[EC:3.4.24.-]
K03606	putative_colanic_acid_biosysnthesis_UDP-glucose_lipid_carrier_transferase
K03607	ProP_effector
K03608	cell_division_topological_specificity_factor
K03609	septum_site-determining_protein_MinD
K03610	septum_site-determining_protein_MinC
K03611	disulfide_bond_formation_protein_DsbB
K03612	electron_transport_complex_protein_RnfG
K03613	electron_transport_complex_protein_RnfE
K03614	electron_transport_complex_protein_RnfD
K03615	electron_transport_complex_protein_RnfC
K03616	electron_transport_complex_protein_RnfB
K03617	electron_transport_complex_protein_RnfA
K03618	hydrogenase-1_operon_protein_HyaF
K03619	hydrogenase-1_operon_protein_HyaE
K03620	Ni/Fe-hydrogenase_1_B-type_cytochrome_subunit
K03621	glycerol-3-phosphate_acyltransferase_PlsX_[EC:2.3.1.15]
K03622	archaea-specific_DNA-binding_protein
K03623	ribonuclease_inhibitor
K03624	transcription_elongation_factor_GreA
K03625	N_utilization_substance_protein_B
K03626	nascent_polypeptide-associated_complex_subunit_alpha
K03627	putative_transcription_factor
K03628	transcription_termination_factor_Rho
K03629	DNA_replication_and_repair_protein_RecF
K03630	DNA_repair_protein_RadC
K03631	DNA_repair_protein_RecN_(Recombination_protein_N)
K03632	chromosome_partition_protein_MukB
K03633	chromosome_partition_protein_MukF
K03634	outer_membrane_lipoprotein_carrier_protein
K03635	molybdopterin_synthase_catalytic_subunit_[EC:2.-.-.-]
K03636	molybdopterin_synthase_sulfur_carrier_subunit
K03637	molybdenum_cofactor_biosynthesis_protein_C
K03638	molybdenum_cofactor_biosynthesis_protein_B
K03639	molybdenum_cofactor_biosynthesis_protein
K03640	peptidoglycan-associated_lipoprotein
K03641	TolB_protein
K03642	rare_lipoprotein_A
K03643	LPS-assembly_lipoprotein
K03644	lipoic_acid_synthetase_[EC:2.8.1.8]
K03645	negative_modulator_of_initiation_of_replication
K03646	colicin_import_membrane_protein
K03647	protein_involved_in_ribonucleotide_reduction
K03648	uracil-DNA_glycosylase_[EC:3.2.2.27]
K03649	TDG/mug_DNA_glycosylase_family_protein_[EC:3.2.2.-]
K03650	tRNA_modification_GTPase_[EC:3.6.-.-]
K03651	Icc_protein
K03652	DNA-3-methyladenine_glycosylase_[EC:3.2.2.21]
K03653	N-glycosylase/DNA_lyase_[EC:3.2.2.-_4.2.99.18]
K03654	ATP-dependent_DNA_helicase_RecQ_[EC:3.6.4.12]
K03655	ATP-dependent_DNA_helicase_RecG_[EC:3.6.4.12]
K03656	ATP-dependent_DNA_helicase_Rep_[EC:3.6.4.12]
K03657	DNA_helicase_II_/_ATP-dependent_DNA_helicase_PcrA_[EC:3.6.4.12]
K03658	DNA_helicase_IV_[EC:3.6.4.12]
K03660	N-glycosylase/DNA_lyase_[EC:3.2.2.-_4.2.99.18]
K03661	V-type_H+-transporting_ATPase_21kDa_proteolipid_subunit_[EC:3.6.3.14]
K03662	V-type_H+-transporting_ATPase_S1_subunit_[EC:3.6.3.14]
K03663	4-galactosyl-N-acetylglucosaminide_3-alpha-L-fucosyltransferase_[EC:2.4.1.152]
K03664	SsrA-binding_protein
K03665	GTP-binding_protein_HflX
K03666	host_factor-I_protein
K03667	ATP-dependent_HslUV_protease_ATP-binding_subunit_HslU
K03668	heat_shock_protein_HslJ
K03669	membrane_glycosyltransferase_[EC:2.4.1.-]
K03670	periplasmic_glucans_biosynthesis_protein
K03671	thioredoxin_1
K03672	thioredoxin_2_[EC:1.8.1.8]
K03673	thiol:disulfide_interchange_protein_DsbA
K03674	glutaredoxin_1
K03675	glutaredoxin_2
K03676	glutaredoxin_3
K03678	exosome_complex_component_RRP45
K03679	exosome_complex_component_RRP4
K03680	translation_initiation_factor_eIF-2B_subunit_delta
K03681	exosome_complex_component_RRP40
K03683	ribonuclease_T_[EC:3.1.13.-]
K03684	ribonuclease_D_[EC:3.1.13.5]
K03685	ribonuclease_III_[EC:3.1.26.3]
K03686	molecular_chaperone_DnaJ
K03687	molecular_chaperone_GrpE
K03688	ubiquinone_biosynthesis_protein
K03689	cytochrome_b6-f_complex_subunit_8
K03690	hypothetical_protein
K03691	peptide-O-fucosyltransferase_[EC:2.4.1.221]
K03692	glucosylglycerol-phosphate_synthase_[EC:2.4.1.213]
K03693	penicillin-binding_protein
K03694	ATP-dependent_Clp_protease_ATP-binding_subunit_ClpA
K03695	ATP-dependent_Clp_protease_ATP-binding_subunit_ClpB
K03696	ATP-dependent_Clp_protease_ATP-binding_subunit_ClpC
K03697	ATP-dependent_Clp_protease_ATP-binding_subunit_ClpE
K03698	CMP-binding_protein
K03699	putative_hemolysin
K03700	recombination_protein_U
K03701	excinuclease_ABC_subunit_A
K03702	excinuclease_ABC_subunit_B
K03703	excinuclease_ABC_subunit_C
K03704	cold_shock_protein_(beta-ribbon,_CspA_family)
K03705	heat-inducible_transcriptional_repressor
K03706	transcriptional_pleiotropic_repressor
K03707	thiaminase_(transcriptional_activator_TenA)_[EC:3.5.99.2]
K03708	transcriptional_regulator_CtsR
K03709	DtxR_family_transcriptional_regulator,_Mn-dependent_transcriptional_regulator
K03710	GntR_family_transcriptional_regulator
K03711	Fur_family_transcriptional_regulator,_ferric_uptake_regulator
K03712	MarR_family_transcriptional_regulator,_multiple_antibiotic_resistance_protein_MarR
K03713	MerR_family_transcriptional_regulator,_glutamine_synthetase_repressor
K03714	glycoprotein_2-beta-D-xylosyltransferase_[EC:2.4.2.38]
K03715	1,2-diacylglycerol_3-beta-galactosyltransferase_[EC:2.4.1.46]
K03716	spore_photoproduct_lyase_[EC:4.1.99.14]
K03717	LysR_family_transcriptional_regulator,_transcriptional_activator_of_nhaA
K03718	Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnC_and_gidA
K03719	Lrp/AsnC_family_transcriptional_regulator,_leucine-responsive_regulatory_protein
K03720	TrpR_family_transcriptional_regulator,_trp_operon_repressor
K03721	transcriptional_regulator_of_aroF,_aroG,_tyrA_and_aromatic_amino_acid_transport
K03722	ATP-dependent_DNA_helicase_DinG_[EC:3.6.4.12]
K03723	transcription-repair_coupling_factor_(superfamily_II_helicase)_[EC:3.6.4.-]
K03724	ATP-dependent_helicase_Lhr_and_Lhr-like_helicase_[EC:3.6.4.-]
K03725	archaea-specific_helicase_[EC:3.6.1.-]
K03726	helicase_[EC:3.6.4.-]
K03727	ATP-dependent_RNA_helicase_HelY_[EC:3.6.4.-]
K03728	nuclear_receptor_subfamily_1_group_D_member_1
K03729	class_B_basic_helix-loop-helix_protein_2
K03730	class_B_basic_helix-loop-helix_protein_3
K03731	trehalose_6-phosphate_phosphorylase_[EC:2.4.1.216]
K03732	ATP-dependent_RNA_helicase_RhlB_[EC:3.6.4.13]
K03733	integrase/recombinase_XerC
K03734	thiamine_biosynthesis_lipoprotein
K03735	ethanolamine_ammonia-lyase_large_subunit_[EC:4.3.1.7]
K03736	ethanolamine_ammonia-lyase_small_subunit_[EC:4.3.1.7]
K03737	putative_pyruvate-flavodoxin_oxidoreductase_[EC:1.2.7.-]
K03738	aldehyde:ferredoxin_oxidoreductase_[EC:1.2.7.5]
K03739	membrane_protein_involved_in_D-alanine_export
K03740	D-alanine_transfer_protein
K03741	arsenate_reductase_[EC:1.20.4.1]
K03742	competence/damage-inducible_protein_CinA
K03743	competence/damage-inducible_protein_CinA
K03744	LemA_protein
K03745	SlyX_protein
K03746	DNA-binding_protein_H-NS
K03747	Smg_protein
K03748	SanA_protein
K03749	DedD_protein
K03750	molybdopterin_molybdotransferase_[EC:2.10.1.1]
K03752	molybdopterin-guanine_dinucleotide_biosynthesis_protein_A_[EC:2.7.7.77]
K03753	molybdopterin-guanine_dinucleotide_biosynthesis_protein_B
K03754	translation_initiation_factor_eIF-2B_subunit_beta
K03755	AraC_family_transcriptional_regulator,_transcriptional_activator_of_adiA
K03756	putrescine:ornithine_antiporter
K03757	cadaverine:lysine_antiporter
K03758	arginine:ornithine_antiporter_/_lysine_permease
K03759	arginine:agmatine_antiporter
K03760	phosphoethanolamine_transferase
K03761	MFS_transporter,_MHS_family,_alpha-ketoglutarate_permease
K03762	MFS_transporter,_MHS_family,_proline/betaine_transporter
K03763	DNA_polymerase_III_subunit_alpha,_Gram-positive_type_[EC:2.7.7.7]
K03764	transcriptional_repressor_of_met_regulon_(beta-ribbon,_MetJ_family)
K03765	transcriptional_activator_of_cad_operon
K03766	beta-1,3-N-acetylglucosaminyltransferase_5_[EC:2.4.1.206]
K03767	peptidyl-prolyl_cis-trans_isomerase_A_(cyclophilin_A)_[EC:5.2.1.8]
K03768	peptidyl-prolyl_cis-trans_isomerase_B_(cyclophilin_B)_[EC:5.2.1.8]
K03769	peptidyl-prolyl_cis-trans_isomerase_C_[EC:5.2.1.8]
K03770	peptidyl-prolyl_cis-trans_isomerase_D_[EC:5.2.1.8]
K03771	peptidyl-prolyl_cis-trans_isomerase_SurA_[EC:5.2.1.8]
K03772	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_FkpA_[EC:5.2.1.8]
K03773	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_FklB_[EC:5.2.1.8]
K03774	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_SlpA_[EC:5.2.1.8]
K03775	FKBP-type_peptidyl-prolyl_cis-trans_isomerase_SlyD_[EC:5.2.1.8]
K03776	aerotaxis_receptor
K03777	D-lactate_dehydrogenase_[EC:1.1.1.28]
K03778	D-lactate_dehydrogenase_[EC:1.1.1.28]
K03779	L(+)-tartrate_dehydratase_alpha_subunit_[EC:4.2.1.32]
K03780	L(+)-tartrate_dehydratase_beta_subunit_[EC:4.2.1.32]
K03781	catalase_[EC:1.11.1.6]
K03782	catalase-peroxidase_[EC:1.11.1.21]
K03783	purine-nucleoside_phosphorylase_[EC:2.4.2.1]
K03784	purine-nucleoside_phosphorylase_[EC:2.4.2.1]
K03785	3-dehydroquinate_dehydratase_I_[EC:4.2.1.10]
K03786	3-dehydroquinate_dehydratase_II_[EC:4.2.1.10]
K03787	5'-nucleotidase_[EC:3.1.3.5]
K03788	acid_phosphatase_(class_B)_[EC:3.1.3.2]
K03789	ribosomal-protein-alanine_N-acetyltransferase_[EC:2.3.1.128]
K03790	ribosomal-protein-alanine_N-acetyltransferase_[EC:2.3.1.128]
K03791	putative_chitinase
K03792	beta-galactoside_alpha-2,3-sialyltransferase_(sialyltransferase_10)_[EC:2.4.99.10]
K03793	pteridine_reductase_[EC:1.5.1.33]
K03794	sirohydrochlorin_ferrochelatase_[EC:4.99.1.4]
K03795	sirohydrochlorin_cobaltochelatase_[EC:4.99.1.3]
K03796	Bax_protein
K03797	carboxyl-terminal_processing_protease_[EC:3.4.21.102]
K03798	cell_division_protease_FtsH_[EC:3.4.24.-]
K03799	heat_shock_protein_HtpX_[EC:3.4.24.-]
K03800	lipoate-protein_ligase_A_[EC:2.7.7.63]
K03801	lipoyl(octanoyl)_transferase_[EC:2.3.1.181]
K03802	cyanophycin_synthetase_[EC:6.-.-.-]
K03803	sigma-E_factor_negative_regulatory_protein_RseC
K03804	chromosome_partition_protein_MukE
K03805	thiol:disulfide_interchange_protein_DsbG
K03806	AmpD_protein
K03807	AmpE_protein
K03808	paraquat-inducible_protein_A
K03809	Trp_repressor_binding_protein
K03810	virulence_factor
K03811	nicotinamide_mononucleotide_transporter
K03812	ribosome_modulation_factor
K03813	molybdenum_transport_protein_[EC:2.4.2.-]
K03814	monofunctional_biosynthetic_peptidoglycan_transglycosylase_[EC:2.4.1.-]
K03815	xanthosine_phosphorylase_[EC:2.4.2.-]
K03816	xanthine_phosphoribosyltransferase_[EC:2.4.2.22]
K03817	ribosomal-protein-serine_acetyltransferase_[EC:2.3.1.-]
K03818	putative_colanic_acid_biosynthesis_acetyltransferase_WcaF_[EC:2.3.1.-]
K03819	putative_colanic_acid_biosynthesis_acetyltransferase_WcaB_[EC:2.3.1.-]
K03820	apolipoprotein_N-acyltransferase_[EC:2.3.1.-]
K03821	polyhydroxyalkanoate_synthase_[EC:2.3.1.-]
K03822	putative_long_chain_acyl-CoA_synthase_[EC:6.2.1.-]
K03823	phosphinothricin_acetyltransferase_[EC:2.3.1.183]
K03824	putative_acetyltransferase_[EC:2.3.1.-]
K03825	putative_acetyltransferase_[EC:2.3.1.-]
K03826	putative_acetyltransferase_[EC:2.3.1.-]
K03827	putative_acetyltransferase_[EC:2.3.1.-]
K03828	putative_acetyltransferase_[EC:2.3.1.-]
K03829	putative_acetyltransferase_[EC:2.3.1.-]
K03830	putative_acetyltransferase_[EC:2.3.1.-]
K03831	molybdopterin_adenylyltransferase_[EC:2.7.7.75]
K03832	periplasmic_protein_TonB
K03833	selenocysteine-specific_elongation_factor
K03834	tyrosine-specific_transport_protein
K03835	tryptophan-specific_transport_protein
K03836	low_affinity_tryptophan_permease
K03837	serine_transporter
K03838	threonine_transporter
K03839	flavodoxin_I
K03840	flavodoxin_II
K03841	fructose-1,6-bisphosphatase_I_[EC:3.1.3.11]
K03842	beta-1,4-mannosyltransferase_[EC:2.4.1.142]
K03843	alpha-1,3/alpha-1,6-mannosyltransferase_[EC:2.4.1.132_2.4.1.257]
K03844	alpha-1,2-mannosyltransferase_[EC:2.4.1.131]
K03845	alpha-1,3-mannosyltransferase_[EC:2.4.1.258]
K03846	alpha-1,2-mannosyltransferase_[EC:2.4.1.259_2.4.1.261]
K03847	alpha-1,6-mannosyltransferase_[EC:2.4.1.260]
K03848	alpha-1,3-glucosyltransferase_[EC:2.4.1.267]
K03849	alpha-1,3-glucosyltransferase_[EC:2.4.1.265]
K03850	alpha-1,2-glucosyltransferase_[EC:2.4.1.256]
K03851	taurine-pyruvate_aminotransferase_[EC:2.6.1.77]
K03852	sulfoacetaldehyde_acetyltransferase_[EC:2.3.3.15]
K03853	calpain-2_[EC:3.4.22.53]
K03854	mannosyltransferase_[EC:2.4.1.-]
K03855	ferredoxin_like_protein
K03856	3-deoxy-7-phosphoheptulonate_synthase_[EC:2.5.1.54]
K03857	phosphatidylinositol_glycan,_class_A_[EC:2.4.1.198]
K03858	phosphatidylinositol_glycan,_class_H
K03859	phosphatidylinositol_glycan,_class_C
K03860	phosphatidylinositol_glycan,_class_Q
K03861	phosphatidylinositol_glycan,_class_P
K03862	vanillate_monooxygenase_[EC:1.14.13.82]
K03863	vanillate_monooxygenase_[EC:1.14.13.82]
K03864	small_monomeric_GTPase_[EC:3.6.5.2]
K03867	UDP-glucose:tetrahydrobiopterin_glucosyltransferase_[EC:2.4.1.-]
K03868	RING-box_protein_1
K03869	cullin_3
K03870	cullin_2
K03871	von_Hippel-Lindau_disease_tumor_supressor
K03872	transcription_elongation_factor_B,_polypeptide_1
K03873	transcription_elongation_factor_B,_polypeptide_2
K03874	other_hect_domain_ubiquitin_protein_ligase_E3_[EC:6.3.2.19]
K03875	F-box_and_leucine-rich_repeat_protein_1_(S-phase_kinase-associated_protein_2)
K03876	BTB_domain_ubiquitin_protein_ligase_cofactor
K03877	beta-1,3-galactosyltransferase_5_[EC:2.4.1.-]
K03878	NADH-ubiquinone_oxidoreductase_chain_1_[EC:1.6.5.3]
K03879	NADH-ubiquinone_oxidoreductase_chain_2_[EC:1.6.5.3]
K03880	NADH-ubiquinone_oxidoreductase_chain_3_[EC:1.6.5.3]
K03881	NADH-ubiquinone_oxidoreductase_chain_4_[EC:1.6.5.3]
K03882	NADH-ubiquinone_oxidoreductase_chain_4L_[EC:1.6.5.3]
K03883	NADH-ubiquinone_oxidoreductase_chain_5_[EC:1.6.5.3]
K03884	NADH-ubiquinone_oxidoreductase_chain_6_[EC:1.6.5.3]
K03885	NADH_dehydrogenase_[EC:1.6.99.3]
K03886	menaquinol-cytochrome_c_reductase_iron-sulfur_subunit_[EC:1.10.2.-]
K03887	menaquinol-cytochrome_c_reductase_cytochrome_b_subunit
K03888	menaquinol-cytochrome_c_reductase_cytochrome_b/c_subunit
K03889	ubiquinol-cytochrome_c_reductase_cytochrome_c_subunit
K03890	ubiquinol-cytochrome_c_reductase_iron-sulfur_subunit
K03891	ubiquinol-cytochrome_c_reductase_cytochrome_b_subunit
K03892	ArsR_family_transcriptional_regulator
K03893	arsenical_pump_membrane_protein
K03894	N2-citryl-N6-acetyl-N6-hydroxylysine_synthase_[EC:6.3.2.38]
K03895	aerobactin_synthase_[EC:6.3.2.39]
K03896	acetyl_CoA:N6-hydroxylysine_acetyl_transferase_[EC:2.3.1.102]
K03897	lysine_N6-hydroxylase_[EC:1.14.13.59]
K03898	kininogen
K03899	coagulation_factor_VIII
K03900	von_Willebrand_factor
K03901	coagulation_factor_III_(tissue_factor)
K03902	coagulation_factor_V_(labile_factor)
K03903	fibrinogen_alpha_chain
K03904	fibrinogen_beta_chain
K03905	fibrinogen_gamma_chain
K03906	coagulation_factor_XIII_B_polypeptide
K03907	thrombomodulin
K03908	protein_S
K03909	tissue_factor_pathway_inhibitor
K03910	alpha-2-macroglobulin
K03911	antithrombin_III
K03912	heparin_cofactor_II
K03913	protein_C_inhibitor
K03914	coagulation_factor_II_(thrombin)_receptor
K03915	bradykinin_receptor_B1
K03916	bradykinin_receptor_B2
K03917	coagulation_factor_XIII_A1_polypeptide_[EC:2.3.2.13]
K03918	L-lysine_6-transaminase_[EC:2.6.1.36]
K03919	alkylated_DNA_repair_protein_[EC:1.14.11.33]
K03921	acyl-[acyl-carrier-protein]_desaturase_[EC:1.14.19.2]
K03922	acyl-[acyl-carrier-protein]_desaturase_[EC:1.14.19.2]
K03923	modulator_of_drug_activity_B
K03924	MoxR-like_ATPase_[EC:3.6.3.-]
K03925	MraZ_protein
K03926	periplasmic_divalent_cation_tolerance_protein
K03927	carboxylesterase_2_[EC:3.1.1.1_3.1.1.84_3.1.1.56]
K03928	carboxylesterase_[EC:3.1.1.1]
K03929	para-nitrobenzyl_esterase_[EC:3.1.1.-]
K03930	putative_tributyrin_esterase_[EC:3.1.1.-]
K03931	putative_isomerase
K03932	polyhydroxybutyrate_depolymerase
K03933	chitin-binding_protein
K03934	NADH_dehydrogenase_(ubiquinone)_Fe-S_protein_1_[EC:1.6.5.3_1.6.99.3]
K03935	NADH_dehydrogenase_(ubiquinone)_Fe-S_protein_2_[EC:1.6.5.3_1.6.99.3]
K03936	NADH_dehydrogenase_(ubiquinone)_Fe-S_protein_3_[EC:1.6.5.3_1.6.99.3]
K03937	NADH_dehydrogenase_(ubiquinone)_Fe-S_protein_4
K03938	NADH_dehydrogenase_(ubiquinone)_Fe-S_protein_5
K03939	NADH_dehydrogenase_(ubiquinone)_Fe-S_protein_6
K03940	NADH_dehydrogenase_(ubiquinone)_Fe-S_protein_7_[EC:1.6.5.3_1.6.99.3]
K03941	NADH_dehydrogenase_(ubiquinone)_Fe-S_protein_8_[EC:1.6.5.3_1.6.99.3]
K03942	NADH_dehydrogenase_(ubiquinone)_flavoprotein_1_[EC:1.6.5.3_1.6.99.3]
K03943	NADH_dehydrogenase_(ubiquinone)_flavoprotein_2_[EC:1.6.5.3_1.6.99.3]
K03944	NADH_dehydrogenase_(ubiquinone)_flavoprotein_3
K03945	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_1
K03946	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_2
K03947	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_3
K03948	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_4
K03949	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_5
K03950	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_6
K03951	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_7
K03952	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_8
K03953	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_9
K03954	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_10
K03955	NADH_dehydrogenase_(ubiquinone)_1_alpha/beta_subcomplex_1
K03956	NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex_subunit_11
K03957	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_1
K03958	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_2
K03959	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_3
K03960	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_4
K03961	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_5
K03962	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_6
K03963	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_7
K03964	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_8
K03965	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_9
K03966	NADH_dehydrogenase_(ubiquinone)_1_beta_subcomplex_subunit_10
K03967	NADH_dehydrogenase_(ubiquinone)_1_subunit_C1
K03968	NADH_dehydrogenase_(ubiquinone)_1_subunit_C2
K03969	phage_shock_protein_A
K03970	phage_shock_protein_B
K03971	phage_shock_protein_D
K03972	phage_shock_protein_E
K03973	phage_shock_protein_C
K03974	psp_operon_transcriptional_activator
K03975	membrane-associated_protein
K03976	putative_transcription_regulator
K03977	GTP-binding_protein
K03978	GTP-binding_protein
K03979	GTP-binding_protein
