KO	cefoperazone-pretreated	clindamycin-pretreated	streptomycin-pretreated	ex-germfree	gene_name	CD630_genes	pathways	enzymatic_reactions	chemical_formulas
K00626	126	143	335	8	acetyl-CoA_C-acetyltransferase_[EC:2.3.1.9]	cdf:CD630_10590,cdf:CD630_26760	Fatty_acid_degradation,Synthesis_and_degradation_of_ketone_bodies,Valine,_leucine_and_isoleucine_degradation,Lysine_degradation,Benzoate_degradation,Tryptophan_metabolism,Pyruvate_metabolism,Glyoxylate_and_dicarboxylate_metabolism,Propanoate_metabolism,Butanoate_metabolism,Carbon_fixation_pathways_in_prokaryotes,Terpenoid_backbone_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Fatty_acid_metabolism,Two-component_system	R00238,R01177	C00024<=>C00332,C00332=>C00024,C00024=>C00332,C00332<=>C00024,C00024+C00024<=>C00332,C00136+C00024=>C05269,C00136+C00024<=>C05269+C00010,C00024+C00136<=>C05269,C00136<=>C05269
K00627	1	3	2	0	pyruvate_dehydrogenase_E2_component_(dihydrolipoamide_acetyltransferase)_[EC:2.3.1.12]	cdf:CD630_00380	Glycolysis_/_Gluconeogenesis,Citrate_cycle_(TCA_cycle),Pyruvate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R02569	C15973+C00024<=>C16255,C00024+C15973<=>C16255
K00634	13	65	77	2	phosphate_butyryltransferase_[EC:2.3.1.19]	cdf:CD630_01120,cdf:CD630_07150	Butanoate_metabolism,Metabolic_pathways	R01174	C00136<=>C02527,C02527<=>C00136
K00645	39	16	6	2	[acyl-carrier-protein]_S-malonyltransferase_[EC:2.3.1.39]	cdf:CD630_11810	Fatty_acid_biosynthesis,Metabolic_pathways,Fatty_acid_metabolism	R01626	C00083<=>C01209,C01209<=>C00083,C00083=>C01209
K00648	30	14	6	2	3-oxoacyl-[acyl-carrier-protein]_synthase_III_[EC:2.3.1.180]	cdf:CD630_11790	Fatty_acid_biosynthesis,Metabolic_pathways,Fatty_acid_metabolism	R01624,R04355	C00024+C00229=>C03939,C03939<=>C00024,C00229+C00024=>C03939,C01209+C03939=>C05744,C03939+C01209<=>C05744
K00651	3	3	2	0	homoserine_O-succinyltransferase_[EC:2.3.1.46]	cdf:CD630_18260	Cysteine_and_methionine_metabolism,Sulfur_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R01777	C00263<=>C01118,C00263=>C01118,C01118<=>C00263
K00655	10	8	11	1	1-acyl-sn-glycerol-3-phosphate_acyltransferase_[EC:2.3.1.51]	cdf:CD630_17230,cdf:CD630_18170	Glycerolipid_metabolism,Glycerophospholipid_metabolism,Metabolic_pathways	R02241	C00681+C00040=>C00416,C00040+C00681=>C00416,C00416<=>C00681
K00656	125	74	66	76	formate_C-acetyltransferase_[EC:2.3.1.54]	cdf:CD630_07590,cdf:CD630_11200,cdf:CD630_32820	Pyruvate_metabolism,Propanoate_metabolism,Butanoate_metabolism,Metabolic_pathways	R00212,R06987	C00058+C00024<=>C00022,C00022=>C00024,C00022<=>C00024,C00109<=>C00100
K00657	6	6	8	0	diamine_N-acetyltransferase_[EC:2.3.1.57]	cdf:CD630_12120	Arginine_and_proline_metabolism,Metabolic_pathways	R01154	C00134=>C02714,C00134<=>C02714
K00661	2	2	2	0	maltose_O-acetyltransferase_[EC:2.3.1.79]	cdf:CD630_08720	NA	NA	NA
K00674	34	33	31	14	2,3,4,5-tetrahydropyridine-2-carboxylate_N-succinyltransferase_[EC:2.3.1.117]	cdf:CD630_32270	Lysine_biosynthesis,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids	R04365	C03972=>C04462,C04462<=>C03972,C03972<=>C04462
K00676	0	0	1	0	ribosomal-protein-alanine_N-acetyltransferase_[EC:2.3.1.128]	cdf:CD630_31590	NA	NA	NA
K00680	2	1	1	0	gamma-glutamyltranspeptidase_[EC:2.3.2.2]	cdf:CD630_25430	Tyrosine_metabolism,Benzoate_degradation,Aminobenzoate_degradation,Ethylbenzene_degradation,Limonene_and_pinene_degradation,Microbial_metabolism_in_diverse_environments	R04777,R05506,R05586,R06414,R06872,R07833	C05338=>C05596,C07118=>C00024+C00512,C07118<=>C00512,C06715=>C00527,C06715<=>C00527,C11948=>C11949,C00093+C00040=>C03974,C16273=>C01144,C16273<=>C01144
K00688	13	19	63	0	starch_phosphorylase_[EC:2.4.1.1]	cdf:CD630_08850	Starch_and_sucrose_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Insulin_signaling_pathway	R02111	C00369=>C00718+C00103,C00369<=>C00103+C00718
K00691	3	2	3	0	maltose_phosphorylase_[EC:2.4.1.8]	cdf:CD630_21880	Starch_and_sucrose_metabolism,Metabolic_pathways	R01555	C00208=>C00031+C00663,C00208<=>C00031
K00694	2	1	2	0	cellulose_synthase_(UDP-forming)_[EC:2.4.1.12]	cdf:CD630_25450	Starch_and_sucrose_metabolism,Metabolic_pathways	R02889	C00029=>C00760,C00029<=>C00760
K00700	6	6	4	0	1,4-alpha-glucan_branching_enzyme_[EC:2.4.1.18]	cdf:CD630_25260	Starch_and_sucrose_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R02110	C00718=>C00369,C00369<=>C00718,C00718<=>C00369
K00703	14	22	70	1	starch_synthase_[EC:2.4.1.21]	cdf:CD630_08840	Starch_and_sucrose_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R02421	C00498=>C00718,C00718<=>C00498,C00498<=>C00718
K00759	13	6	6	4	adenine_phosphoribosyltransferase_[EC:2.4.2.7]	cdf:CD630_27450	Purine_metabolism,Metabolic_pathways	R00190,R01229,R04378	C00020<=>C00147,C00147<=>C00020,C00242<=>C00144,C04677<=>C04051
K00760	14	9	4	10	hypoxanthine_phosphoribosyltransferase_[EC:2.4.2.8]	cdf:CD630_26910,cdf:CD630_32310	Purine_metabolism,Drug_metabolism_-_other_enzymes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00190,R01132,R01229,R02142,R08237,R08238,R08245	C00020<=>C00147,C00147<=>C00020,C00130<=>C00262,C00242<=>C00144,C00385<=>C00655,C00655<=>C00385,C02380=>C04646,C16614=>C16615,C07648=>C16619
K00761	26	13	12	6	uracil_phosphoribosyltransferase_[EC:2.4.2.9]	cdf:CD630_34790	Pyrimidine_metabolism,Metabolic_pathways	R00966	C00105<=>C00106,C00106<=>C00105
K00762	9	5	4	9	orotate_phosphoribosyltransferase_[EC:2.4.2.10]	cdf:CD630_01870	Pyrimidine_metabolism,Metabolic_pathways	R01870	C01103<=>C00119+C00295,C00295+C00119<=>C01103
K00763	17	16	16	2	nicotinate_phosphoribosyltransferase_[EC:6.3.4.21]	cdf:CD630_35430	Nicotinate_and_nicotinamide_metabolism,Metabolic_pathways	R01724	C01185<=>C00253
K00764	8	8	6	1	amidophosphoribosyltransferase_[EC:2.4.2.14]	cdf:CD630_02200	Purine_metabolism,Alanine,_aspartate_and_glutamate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R01072	C00064+C00119=>C03090,C00064=>C03090,C03090<=>C00119
K00765	0	1	1	0	ATP_phosphoribosyltransferase_[EC:2.4.2.17]	cdf:CD630_15480	Histidine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R01071	C02739<=>C00119,C00119<=>C02739,C00119=>C02739
K00767	1	0	1	0	nicotinate-nucleotide_pyrophosphorylase_(carboxylating)_[EC:2.4.2.19]	cdf:CD630_23700	Nicotinate_and_nicotinamide_metabolism,Metabolic_pathways	R03348	C03722=>C01185,C03722<=>C01185
K00768	16	11	13	0	nicotinate-nucleotide--dimethylbenzimidazole_phosphoribosyltransferase_[EC:2.4.2.21]	cdf:CD630_34390	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R04148	C03114=>C04778,C03114<=>C04778
K00783	4	3	2	0	23S_rRNA_(pseudouridine1915-N3)-methyltransferase_[EC:2.1.1.177]	cdf:CD630_36490	NA	NA	NA
K00784	2	1	2	0	ribonuclease_Z_[EC:3.1.26.11]	cdf:CD630_25390	RNA_transport	NA	NA
K00788	0	0	1	0	thiamine-phosphate_pyrophosphorylase_[EC:2.5.1.3]	cdf:CD630_16010,cdf:CD630_17060	Thiamine_metabolism,Metabolic_pathways	R03223	C04327+C04752=>C01081,C04327+C04752<=>C01081
K00789	20	18	16	21	S-adenosylmethionine_synthetase_[EC:2.5.1.6]	cdf:CD630_01300	Cysteine_and_methionine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R00177	C00073=>C00019,C00073<=>C00019,C00019<=>C00073
K00790	8	19	9	10	UDP-N-acetylglucosamine_1-carboxyvinyltransferase_[EC:2.5.1.7]	cdf:CD630_01230	Amino_sugar_and_nucleotide_sugar_metabolism,Peptidoglycan_biosynthesis,Metabolic_pathways	R00660	C00043=>C04631,C04631<=>C00043
K00793	20	0	2	1	riboflavin_synthase_[EC:2.5.1.9]	cdf:CD630_16990	Riboflavin_metabolism,Metabolic_pathways	R00066	C04332=>C04732+C00255,C04332<=>C00255
K00794	45	0	2	2	6,7-dimethyl-8-ribityllumazine_synthase_[EC:2.5.1.78]	cdf:CD630_16970	Riboflavin_metabolism,Metabolic_pathways	R04457	C04732+C15556=>C04332,C15556+C04732<=>C04332
K00796	12	8	10	0	dihydropteroate_synthase_[EC:2.5.1.15]	cdf:CD630_14500	Folate_biosynthesis,Metabolic_pathways	R03066,R03067	C00568+C01300=>C00921,C00568+C01300<=>C00921,C00568+C04807=>C00921,C04807+C00568<=>C00921
K00797	1	0	0	0	spermidine_synthase_[EC:2.5.1.16]	cdf:CD630_08900	Cysteine_and_methionine_metabolism,Arginine_and_proline_metabolism,beta-Alanine_metabolism,Glutathione_metabolism,Metabolic_pathways	R01920,R02869,R08359	C01137=>C00170,C00134+C01137=>C00315,C00134=>C00315,C00170+C00315<=>C01137+C00134,C01137=>C00170,C00315+C01137=>C00750,C00750=>C00315,C00315=>C00750,C00315<=>C00750,C01672=>C16565
K00800	2	1	2	0	3-phosphoshikimate_1-carboxyvinyltransferase_[EC:2.5.1.19]	cdf:CD630_18340	Phenylalanine,_tyrosine_and_tryptophan_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R03460	C03175<=>C01269,C01269<=>C03175,C03175=>C01269
K00805	4	2	1	1	heptaprenyl_diphosphate_synthase_[EC:2.5.1.30]	cdf:CD630_32720	Terpenoid_backbone_biosynthesis,Biosynthesis_of_secondary_metabolites	R09247	C00448=>C04216,C00448<=>C04216
K00806	26	17	20	3	undecaprenyl_diphosphate_synthase_[EC:2.5.1.31]	cdf:CD630_21360,cdf:CD630_27620	Terpenoid_backbone_biosynthesis,Biosynthesis_of_secondary_metabolites	R06447	C00448=>C04574,C00448<=>C04574
K00812	69	125	188	13	aspartate_aminotransferase_[EC:2.6.1.1]	cdf:CD630_01070,cdf:CD630_13390	Alanine,_aspartate_and_glutamate_metabolism,Cysteine_and_methionine_metabolism,Arginine_and_proline_metabolism,Tyrosine_metabolism,Phenylalanine_metabolism,Phenylalanine,_tyrosine_and_tryptophan_biosynthesis,Novobiocin_biosynthesis,Isoquinoline_alkaloid_biosynthesis,Tropane,_piperidine_and_pyridine_alkaloid_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R00355,R00694,R00734,R00896,R02433,R02619,R05052	C00049<=>C00036,C00025+C00036<=>C00049,C00036<=>C00049,C00026<=>C00025,C00166<=>C00079,C00079<=>C00166,C00166=>C00079,C00082=>C01179,C00082<=>C01179,C01179=>C00082,C00097<=>C00957,C00957<=>C00097,C00506<=>C05528,C00606=>C05527,C05527<=>C00606,C05947=>C05946,C05946<=>C05947
K00817	2	0	1	0	histidinol-phosphate_aminotransferase_[EC:2.6.1.9]	cdf:CD630_15490,cdf:CD630_22000	Histidine_metabolism,Tyrosine_metabolism,Phenylalanine_metabolism,Phenylalanine,_tyrosine_and_tryptophan_biosynthesis,Novobiocin_biosynthesis,Tropane,_piperidine_and_pyridine_alkaloid_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R00694,R00734,R03243	C00166<=>C00079,C00079<=>C00166,C00166=>C00079,C00082=>C01179,C00082<=>C01179,C01179=>C00082,C01100<=>C01267,C01267<=>C01100,C01267=>C01100
K00820	40	38	14	6	glucosamine--fructose-6-phosphate_aminotransferase_(isomerizing)_[EC:2.6.1.16]	cdf:CD630_01200	Alanine,_aspartate_and_glutamate_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00768	C00064=>C00352,C00085=>C00352,C00085<=>C00352
K00821	0	0	0	0	acetylornithine/N-succinyldiaminopimelate_aminotransferase_[EC:2.6.1.11_2.6.1.17]	cdf:CD630_20310	Lysine_biosynthesis,Arginine_and_proline_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R02283,R04475	C01250=>C00437,C01250<=>C00437,C00437<=>C01250,C04421<=>C04462,C04462<=>C04421,C04462=>C04421
K00823	3	9	19	0	4-aminobutyrate_aminotransferase_[EC:2.6.1.19]	cdf:CD630_21580	Alanine,_aspartate_and_glutamate_metabolism,beta-Alanine_metabolism,Propanoate_metabolism,Butanoate_metabolism,Metabolic_pathways	R00908,R01648	C00099<=>C00222,C00222<=>C00099,C00334<=>C00232,C00232<=>C00334
K00837	92	266	300	11	aromatic_amino_acid_aminotransferase_I_[EC:2.6.1.57_2.6.1.27_2.6.1.5]	cdf:CD630_36640	NA	NA	NA
K00839	2	1	9	1	aminotransferase_[EC:2.6.1.-]	cdf:CD630_09940	NA	NA	NA
K00845	6	13	5	0	glucokinase_[EC:2.7.1.2]	cdf:CD630_24590	Glycolysis_/_Gluconeogenesis,Galactose_metabolism,Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Streptomycin_biosynthesis,Butirosin_and_neomycin_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R00299,R01600,R01786	C00031=>C00092,C00031<=>C00092,C00221=>C01172,C00221<=>C01172,C00267=>C00668,C00267<=>C00668,C00668<=>C00267
K00847	1	1	1	0	fructokinase_[EC:2.7.1.4]	cdf:CD630_18060	Fructose_and_mannose_metabolism,Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways	R00867,R03920	C00095=>C05345,C00095<=>C05345,C02336<=>C05345
K00850	28	8	7	6	6-phosphofructokinase_1_[EC:2.7.1.11]	cdf:CD630_31100,cdf:CD630_33950	Glycolysis_/_Gluconeogenesis,Pentose_phosphate_pathway,Fructose_and_mannose_metabolism,Galactose_metabolism,Methane_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R03236,R03237,R03238,R03239,R04779	C01097<=>C03785,C01097<=>C03785,C01097<=>C03785,C01097<=>C03785,C05345=>C05378,C05345<=>C05378
K00852	0	0	2	0	ribokinase_[EC:2.7.1.15]	cdf:CD630_02990	Pentose_phosphate_pathway	R01051,R02750	C00121<=>C00117,C01801<=>C00673
K00854	4	2	1	0	xylulokinase_[EC:2.7.1.17]	cdf:CD630_30650	Pentose_and_glucuronate_interconversions,Metabolic_pathways	R01639	C00310<=>C00231
K00858	8	7	9	1	NAD+_kinase_[EC:2.7.1.23]	cdf:CD630_10490	Nicotinate_and_nicotinamide_metabolism,Metabolic_pathways	R00104	C00003=>C00006,C00003<=>C00006
K00859	3	5	5	0	dephospho-CoA_kinase_[EC:2.7.1.24]	cdf:CD630_11290	Pantothenate_and_CoA_biosynthesis,Metabolic_pathways	R00130	C00882=>C00010,C00882<=>C00010
K00864	2	3	4	1	glycerol_kinase_[EC:2.7.1.30]	cdf:CD630_07410,cdf:CD630_13820	Glycerolipid_metabolism,Metabolic_pathways,PPAR_signaling_pathway,Plant-pathogen_interaction	R00847	C00116=>C00093,C00093<=>C00116
K00865	0	0	1	0	glycerate_kinase_[EC:2.7.1.31]	cdf:CD630_30840	Glycine,_serine_and_threonine_metabolism,Glycerolipid_metabolism,Glyoxylate_and_dicarboxylate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R01514	C00258<=>C00197,C00258=>C00197,C00197<=>C00258
K00868	5	3	4	0	pyridoxine_kinase_[EC:2.7.1.35]	cdf:CD630_13530	Vitamin_B6_metabolism,Metabolic_pathways	R00174,R01909,R02493	C00250=>C00018,C00250<=>C00018,C00314=>C00627,C00314<=>C00627,C00534=>C00647,C00647<=>C00534
K00873	63	15	12	21	pyruvate_kinase_[EC:2.7.1.40]	cdf:CD630_33940	Glycolysis_/_Gluconeogenesis,Purine_metabolism,Pyruvate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids,Type_II_diabetes_mellitus,Viral_carcinogenesis	R00200,R00430,R01138,R01858,R02320	C00074=>C00022,C00002<=>C00008,C00074<=>C00022,C00008<=>C00002,C00022<=>C00074,C00044<=>C00035,C00035<=>C00044,C00131<=>C00206,C00361=>C00286,C00361<=>C00286,C00074=>C00022,C00074<=>C00022,C00022<=>C00074
K00874	0	1	1	0	2-dehydro-3-deoxygluconokinase_[EC:2.7.1.45]	cdf:CD630_36400	Pentose_phosphate_pathway,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R01541	C00204=>C04442,C04442<=>C00204,C00204<=>C04442
K00876	2	12	9	0	uridine_kinase_[EC:2.7.1.48]	cdf:CD630_05570	Pyrimidine_metabolism,Drug_metabolism_-_other_enzymes,Metabolic_pathways	R00513,R00516,R00517,R00962,R00964,R00967,R00968,R00970,R01548,R01549,R01880,R02091,R02096,R02097,R02327,R02332,R02371,R02372,R08232	C00475=>C00055,C00055<=>C00475,C00475=>C00055,C00055<=>C00475,C00475=>C00055,C00055<=>C00475,C00475=>C00055,C00055<=>C00475,C00299=>C00105,C00105<=>C00299,C00299=>C00105,C00105<=>C00299,C00299=>C00105,C00105<=>C00299,C00299=>C00105,C00105<=>C00299,C00475=>C00055,C00055<=>C00475,C00299=>C00105,C00105<=>C00299,C00299=>C00105,C00105<=>C00299,C00475=>C00055,C00055<=>C00475,C00475=>C00055,C00055<=>C00475,C00299=>C00105,C00105<=>C00299,C00299=>C00105,C00105<=>C00299,C00299=>C00105,C00105<=>C00299,C00475=>C00055,C00055<=>C00475,C00475=>C00055,C00055<=>C00475,C16633=>C16634
K00878	0	0	0	0	hydroxyethylthiazole_kinase_[EC:2.7.1.50]	cdf:CD630_16000	Thiamine_metabolism,Metabolic_pathways	R04448	C04294=>C04327,C04294<=>C04327
K00882	14	7	65	10	1-phosphofructokinase_[EC:2.7.1.56]	cdf:CD630_22700,cdf:CD630_30760	Fructose_and_mannose_metabolism	R02071	C01094<=>C05378
K00891	3	1	1	0	shikimate_kinase_[EC:2.7.1.71]	cdf:CD630_18380	Phenylalanine,_tyrosine_and_tryptophan_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R02412	C00493=>C03175,C03175<=>C00493,C00493<=>C03175
K00901	3	9	5	0	diacylglycerol_kinase_(ATP_dependent)_[EC:2.7.1.107]	cdf:CD630_24390	Glycerolipid_metabolism,Glycerophospholipid_metabolism,Metabolic_pathways,Phosphatidylinositol_signaling_system	R02240	C00641=>C00416,C00641<=>C00416
K00917	0	0	1	0	tagatose_6-phosphate_kinase_[EC:2.7.1.144]	cdf:CD630_34510	Galactose_metabolism,Metabolic_pathways	R03236	C01097<=>C03785
K00919	8	5	5	2	4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase_[EC:2.7.1.148]	cdf:CD630_35660	Terpenoid_backbone_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R05634	C11435=>C11436,C11436<=>C11435,C11435<=>C11436
K00927	74	17	12	24	phosphoglycerate_kinase_[EC:2.7.2.3]	cdf:CD630_31730	Glycolysis_/_Gluconeogenesis,Carbon_fixation_in_photosynthetic_organisms,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R01512	C00197<=>C00236,C00197=>C00236,C00236<=>C00197
K00928	13	17	17	3	aspartate_kinase_[EC:2.7.2.4]	cdf:CD630_13220,cdf:CD630_20540	Glycine,_serine_and_threonine_metabolism,Cysteine_and_methionine_metabolism,Lysine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R00480	C00049=>C03082,C00049<=>C03082
K00929	40	188	144	7	butyrate_kinase_[EC:2.7.2.7]	cdf:CD630_01130,cdf:CD630_23790,cdf:CD630_24260	Butanoate_metabolism,Metabolic_pathways	R01688	C00246<=>C02527,C02527<=>C00246
K00930	0	0	0	0	acetylglutamate_kinase_[EC:2.7.2.8]	cdf:CD630_20320	Arginine_and_proline_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R02649	C00624=>C04133,C00624<=>C04133
K00936	11	8	12	1	polyphosphate_kinase_[EC:2.7.4.1]	cdf:CD630_16250,cdf:CD630_35990	NA	NA	NA
K00939	145	84	57	121	adenylate_kinase_[EC:2.7.4.3]	cdf:CD630_00910	Purine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00127,R01547	C00020<=>C00008,C00008<=>C00020,C00360<=>C00206,C00206<=>C00360
K00941	0	0	0	0	hydroxymethylpyrimidine/phosphomethylpyrimidine_kinase_[EC:2.7.1.49_2.7.4.7]	cdf:CD630_15990	Thiamine_metabolism,Metabolic_pathways	R03471,R04509	C01279=>C04556,C01279<=>C04556,C04556=>C04752,C04556<=>C04752
K00942	9	7	6	2	guanylate_kinase_[EC:2.7.4.8]	cdf:CD630_25880	Purine_metabolism,Metabolic_pathways	R00332,R02090	C00144<=>C00035,C00362<=>C00361,C00361<=>C00362
K00943	3	2	3	0	dTMP_kinase_[EC:2.7.4.9]	cdf:CD630_35500	Pyrimidine_metabolism,Metabolic_pathways	R02094,R02098	C00364<=>C00363,C00365<=>C01346,C01346<=>C00365
K00945	5	4	6	1	cytidylate_kinase_[EC:2.7.4.14]	cdf:CD630_18160	Pyrimidine_metabolism,Metabolic_pathways	R00158,R00512,R01665	C00105<=>C00015,C00015<=>C00105,C00055<=>C00112,C00112<=>C00055,C00239=>C00705,C00705<=>C00239
K00949	11	7	4	2	thiamine_pyrophosphokinase_[EC:2.7.6.2]	cdf:CD630_25740	Thiamine_metabolism,Metabolic_pathways	R00616,R00619	C00068=>C03028,C00068<=>C03028,C00378=>C00068,C00068<=>C00378
K00950	14	8	9	1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_diphosphokinase_[EC:2.7.6.3]	cdf:CD630_14520	Folate_biosynthesis,Metabolic_pathways	R03503	C01300=>C04807,C01300<=>C04807
K00951	6	5	3	1	GTP_pyrophosphokinase_[EC:2.7.6.5]	cdf:CD630_27440	Purine_metabolism	R00429	C00044=>C04494
K00954	7	5	2	1	pantetheine-phosphate_adenylyltransferase_[EC:2.7.7.3]	cdf:CD630_25580	Pantothenate_and_CoA_biosynthesis,Metabolic_pathways	R03035	C01134<=>C00882
K00962	32	29	25	20	polyribonucleotide_nucleotidyltransferase_[EC:2.7.7.8]	cdf:CD630_13180	Purine_metabolism,Pyrimidine_metabolism,RNA_degradation	R00437,R00438,R00439,R00440	C00046<=>C00008,C00046<=>C00015,C00046<=>C00035,C00046<=>C00112
K00963	12	12	12	8	UTP--glucose-1-phosphate_uridylyltransferase_[EC:2.7.7.9]	cdf:CD630_27150,cdf:CD630_34880	Pentose_and_glucuronate_interconversions,Galactose_metabolism,Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00289	C00103=>C00029,C00103<=>C00029,C00029<=>C00103
K00965	4	16	5	0	UDPglucose--hexose-1-phosphate_uridylyltransferase_[EC:2.7.7.12]	cdf:CD630_13400	Galactose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Prolactin_signaling_pathway	R00955	C00029+C00446<=>C00103+C00052,C00029+C00446<=>C00052+C00103,C00446+C00029<=>C00052+C00103,C00446<=>C00052
K00969	4	6	10	2	nicotinate-nucleotide_adenylyltransferase_[EC:2.7.7.18]	cdf:CD630_25240	Nicotinate_and_nicotinamide_metabolism,Metabolic_pathways	R00137,R03005	C00455<=>C00003,C01185<=>C00857
K00971	10	5	3	0	mannose-1-phosphate_guanylyltransferase_[EC:2.7.7.13]	cdf:CD630_27790	Fructose_and_mannose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00885	C00636=>C00096,C00636<=>C00096,C00096<=>C00636
K00974	1	1	1	0	tRNA_nucleotidyltransferase_(CCA-adding_enzyme)_[EC:2.7.7.72_3.1.3.-_3.1.4.-]	cdf:CD630_24660	RNA_transport	NA	NA
K00975	20	29	124	0	glucose-1-phosphate_adenylyltransferase_[EC:2.7.7.27]	cdf:CD630_08820,cdf:CD630_08830	Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00948	C00103=>C00498,C00103<=>C00498,C00498<=>C00103
K00981	13	8	8	5	phosphatidate_cytidylyltransferase_[EC:2.7.7.41]	cdf:CD630_21350	Glycerophospholipid_metabolism,Metabolic_pathways,Phosphatidylinositol_signaling_system	R01799	C00416=>C00269,C00416<=>C00269
K00991	2	1	1	0	2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase_[EC:2.7.7.60]	cdf:CD630_00470	Terpenoid_backbone_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R05633	C11434=>C11435,C11435<=>C11434,C11434<=>C11435
K00995	9	6	4	1	CDP-diacylglycerol--glycerol-3-phosphate_3-phosphatidyltransferase_[EC:2.7.8.5]	cdf:CD630_13270	Glycerophospholipid_metabolism,Metabolic_pathways	R01801	C00269=>C03892,C00269<=>C03892
K00997	6	11	6	5	holo-[acyl-carrier_protein]_synthase_[EC:2.7.8.7]	cdf:CD630_34660	Pantothenate_and_CoA_biosynthesis	R01625	C03688+C00010=>C00229+C00054
K01000	11	11	7	1	phospho-N-acetylmuramoyl-pentapeptide-transferase_[EC:2.7.8.13]	cdf:CD630_26540	Peptidoglycan_biosynthesis,Metabolic_pathways	R05629,R05630	C04702+C17556=>C04851+C00105,C04702<=>C04851,C04882+C17556=>C00105+C05897
